"gene_name","Col0_0h_rep1","Col0_0h_rep2","Col0_0h_rep3","Col0_24h_rep1","Col0_24h_rep2","Col0_24h_rep3"
"AT5G60640","6497","6454","7735","6176","6375","5298"
"AT5G60650","70","86","86","103","92","52"
"AT5G60660","15516","14819","10617","19051","16385","18241"
"AT5G60670","941","972","1691","828","860","678"
"AT5G60680","4872","4502","3597","3751","4517","3048"
"AT5G60690","1750","1919","1740","1671","1892","1433"
"AT5G60700","1249","1053","925","1022","1126","771"
"AT5G60710","1170","1558","1681","1637","1689","1549"
"AT5G60720","217","256","156","271","279","235"
"AT5G60730","26","22","62","14","38","27"
"AT5G60740","0","0","2","0","1","1"
"AT5G60750","640","732","696","942","926","799"
"AT5G60760","820","862","799","894","1008","735"
"AT5G60770","0","0","0","0","1","0"
"AT5G60780","0","0","0","0","0","0"
"AT5G60790","4296","4413","4502","4661","4643","3899"
"AT5G60800","141","152","124","119","117","83"
"AT5G60805","0","0","0","0","0","0"
"AT5G60810","3","1","3","3","0","0"
"AT5G60820","436","353","374","390","366","325"
"AT5G60830","0","0","0","1","0","0"
"AT5G60840","211","277","405","350","447","414"
"AT5G60850","836","1018","634","1687","1660","1385"
"AT5G60860","504","492","410","684","648","457"
"AT5G60870","82","68","100","74","90","65"
"AT5G60880","12","9","27","11","12","8"
"AT5G60890","1686","1688","1717","1846","2195","2269"
"AT5G60900","0","33","75","70","87","111"
"AT5G60910","0","2","0","1","1","0"
"AT5G60920","9560","8110","9192","7873","7061","5928"
"AT5G60930","332","484","487","650","560","435"
"AT5G60940","433","378","473","394","470","337"
"AT5G60945","0","0","0","0","0","0"
"AT5G60950","315","312","831","478","235","198"
"AT5G60960","791","820","1002","716","799","691"
"AT5G60963","0","0","0","0","0","0"
"AT5G60964","0","0","0","0","0","0"
"AT5G60966","0","0","0","0","0","0"
"AT5G60970","190","193","147","151","222","122"
"AT5G60978","0","0","0","0","0","0"
"AT5G60980","4475","3832","3759","3676","3524","2865"
"AT5G60990","442","452","622","375","532","391"
"AT5G61000","336","286","445","349","248","242"
"AT5G61010","359","740","1196","1306","1423","1576"
"AT5G61020","2316","2419","3511","2488","2798","2190"
"AT5G61030","175","221","363","191","276","236"
"AT5G61040","273","240","248","181","203","143"
"AT5G61050","0","1","0","0","0","1"
"AT5G61060","913","1015","1043","1659","1376","1208"
"AT5G61070","4","7","8","8","5","7"
"AT5G61090","1","0","0","1","1","0"
"AT5G61100","1","0","0","0","0","0"
"AT5G61110","0","0","0","0","0","0"
"AT5G61120","3","3","3","3","2","2"
"AT5G61130","1682","1518","1831","1072","1003","767"
"AT5G61140","3811","3357","3096","3277","3851","2933"
"AT5G61150","3118","2502","2608","2538","2646","1954"
"AT5G61160","1","194","546","0","18","13"
"AT5G61170","1895","2218","2946","1841","2031","1933"
"AT5G61180","0","1","0","0","0","1"
"AT5G61190","1536","1341","1354","1538","1389","1092"
"AT5G61200","418","390","495","432","385","306"
"AT5G61210","2468","2797","3301","3806","4310","4038"
"AT5G61220","316","330","455","314","332","316"
"AT5G61228","0","0","0","0","0","0"
"AT5G61230","0","0","0","0","0","0"
"AT5G61240","3044","2661","3034","2283","2009","1632"
"AT5G61250","508","781","544","1452","1075","1115"
"AT5G61260","138","186","214","442","329","304"
"AT5G61270","16","27","20","48","32","27"
"AT5G61280","33","49","32","37","19","17"
"AT5G61290","73","55","56","36","29","20"
"AT5G61300","183","182","178","109","133","92"
"AT5G61310","118","169","267","112","171","143"
"AT5G61320","2","5","5","0","3","2"
"AT5G61330","691","698","677","863","1202","793"
"AT5G61340","1580","2404","3730","2483","2689","2724"
"AT5G61345","0","0","0","0","0","0"
"AT5G61350","95","46","78","22","1","2"
"AT5G61360","40","49","46","50","61","52"
"AT5G61370","24","37","59","40","44","73"
"AT5G61380","6872","4162","2835","3550","3146","2256"
"AT5G61390","188","255","258","157","229","214"
"AT5G61400","77","64","72","44","65","58"
"AT5G61410","7074","6871","5257","4588","5596","3177"
"AT5G61412","0","2","6","0","0","1"
"AT5G61420","48","83","199","23","82","50"
"AT5G61430","246","482","532","94","300","291"
"AT5G61440","1462","1098","1036","1241","1311","967"
"AT5G61445","0","0","0","0","0","0"
"AT5G61450","1427","1236","1275","1416","1545","1272"
"AT5G61455","3","4","1","5","6","6"
"AT5G61460","330","351","406","365","394","363"
"AT5G61470","0","0","0","0","0","0"
"AT5G61480","520","646","602","748","935","683"
"AT5G61490","10","9","16","7","19","16"
"AT5G61495","0","0","0","0","0","0"
"AT5G61500","2657","2605","2148","3045","2851","2527"
"AT5G61510","1412","1492","1561","1494","1554","1426"
"AT5G61520","229","263","373","255","374","267"
"AT5G61530","1927","2035","1889","3108","2903","2509"
"AT5G61540","177","197","185","265","243","207"
"AT5G61550","80","62","59","37","18","8"
"AT5G61560","561","655","874","605","682","567"
"AT5G61570","621","513","625","574","540","428"
"AT5G61580","1088","894","847","969","1044","733"
"AT5G61590","1546","1237","982","2528","1987","1645"
"AT5G61600","525","671","690","1252","1028","914"
"AT5G61605","3","0","0","0","0","0"
"AT5G61610","10","3","4","5","1","1"
"AT5G61620","12","11","4","8","1","4"
"AT5G61630","0","0","0","0","0","0"
"AT5G61640","257","354","329","351","388","425"
"AT5G61650","82","100","123","48","42","42"
"AT5G61660","424","468","263","769","477","387"
"AT5G61670","1272","1214","1028","1436","1514","1234"
"AT5G61680","0","0","0","0","0","0"
"AT5G61690","0","1","0","0","0","0"
"AT5G61700","0","0","0","0","0","0"
"AT5G61710","0","0","0","0","0","0"
"AT5G61720","0","0","0","0","0","0"
"AT5G61730","3","8","19","14","3","3"
"AT5G61740","3","6","7","19","12","24"
"AT5G61750","0","1","0","2","2","2"
"AT5G61760","808","921","1058","839","945","993"
"AT5G61770","298","355","604","402","525","430"
"AT5G61780","6619","6024","6150","5108","4765","3813"
"AT5G61790","6572","6316","10920","6249","7809","7211"
"AT5G61800","24","15","30","7","30","19"
"AT5G61810","510","448","487","394","404","352"
"AT5G61820","8009","8411","4979","7225","7252","6923"
"AT5G61830","433","392","373","268","348","241"
"AT5G61835","0","0","0","0","0","0"
"AT5G61840","1784","1842","1776","2076","1855","1613"
"AT5G61850","8","6","4","4","6","2"
"AT5G61865","50","52","57","48","33","19"
"AT5G61880","131","151","194","86","112","75"
"AT5G61890","12","29","42","36","64","57"
"AT5G61910","813","852","918","999","984","872"
"AT5G61900","1","1","3","3","1","0"
"AT5G61920","82","81","41","78","59","39"
"AT5G61930","117","121","133","115","93","115"
"AT5G61940","37","39","67","42","62","57"
"AT5G61950","59","43","66","32","51","41"
"AT5G61960","6641","6721","5909","7351","7336","5835"
"AT5G61970","1792","1597","1514","1635","1491","1222"
"AT5G61980","211","180","234","234","177","180"
"AT5G61990","674","689","561","678","819","507"
"AT5G61997","0","0","1","0","0","0"
"AT5G62000","13423","12217","9672","10880","11990","9047"
"AT5G62020","410","451","350","454","465","383"
"AT5G62030","378","453","573","473","533","454"
"AT5G62040","0","3","0","0","0","0"
"AT5G62050","1013","1020","1389","1087","1170","1100"
"AT5G62060","0","0","0","0","0","0"
"AT5G62065","0","0","0","0","0","0"
"AT5G62070","673","907","1344","988","1058","873"
"AT5G62080","4","3","2","2","1","3"
"AT5G62090","1703","1483","1250","1430","1484","1142"
"AT5G62100","375","333","300","512","435","360"
"AT5G62110","0","13","11","25","11","0"
"AT5G62120","0","1","2","6","1","0"
"AT5G62130","499","555","410","444","533","477"
"AT5G62140","108","113","179","52","71","45"
"AT5G62150","42","114","134","59","95","137"
"AT5G62160","0","0","0","0","0","0"
"AT5G62162","0","0","1","0","0","0"
"AT5G62165","12","14","11","10","7","7"
"AT5G62170","796","754","802","699","731","445"
"AT5G62180","422","358","352","404","338","291"
"AT5G62190","6846","5631","6068","5417","5096","4003"
"AT5G62200","861","726","648","635","682","616"
"AT5G62210","0","3","7","3","1","0"
"AT5G62220","287","299","356","262","310","243"
"AT5G62230","141","131","159","79","80","35"
"AT5G62240","2","0","4","2","5","2"
"AT5G62250","4","7","3","4","3","1"
"AT5G62260","316","318","464","461","611","508"
"AT5G62270","985","922","1192","790","856","663"
"AT5G62280","4739","3530","3236","3255","4196","2450"
